Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
,2013 - 2014,Southern Wrestling Superstars,"Louisiana, USA",Southern Wrestling Superstars,/site/main/img/ligen/small/1729.gif,Southern Wrestling Superstars (2013 - 2014),,"Cassidy Riley, (2013 - 2014)",,,,
SCW,1996,Southwest Championship Wrestling ,"Texas, USA",,,Southwest Championship Wrestling  (1996),,,,,,
"SWF, ESWF",2002 - today,Southern Wrestling Federation,"Tullahoma, Tennessee, USA",Southern Wrestling Federation,/site/main/img/ligen/small/2611.gif,"Southern Wrestling Federation (09.2014 - today),Extreme Southern Wrestling Federation (12.07.2013 - 09.2014),Southern Wrestling Federation (2002 - 11.07.2013)",,,,https://www.facebook.com/swfwrestling,,
SWA,1992 - 1999,Southern Wrestling Association,"Tennessee, USA",,,Southern Wrestling Association (1992 - 1999),,Gene Thompson (1992 - 1999),,,,
SCW,2017 - today,Southland Championship Wrestling,"Illinois, USA",Southland Championship Wrestling,/site/main/img/ligen/small/1935.gif,Southland Championship Wrestling (2017 - today),,Doug Keast (2017 - today),,"https://www.facebook.com/SouthlandChampionshipWrestling,https://www.youtube.com/channel/UCz9qRnjBEFlrzRN1UguHtVg",,
SUP,2017 - today,Southern Underground Pro,"Nashville, Tennessee, USA",Southern Underground Pro,/site/main/img/ligen/small/2141.gif,Southern Underground Pro (2017 - today),,Jesse Butler (2017 - today),,"https://twitter.com/sup_graps,https://www.facebook.com/supgraps,https://www.instagram.com/sup_graps",,
SVW,2015 - today,Southern Violence And Wrestling,"Athens, Georgia, USA",Southern Violence And Wrestling,/site/main/img/ligen/small/2848.gif,Southern Violence And Wrestling (2015 - today),,Dave Hadden (2015 - today),,https://www.facebook.com/southernviolenceandwrestling/,,
SHW,2018 - today,Southern Honor Wrestling,"Canton, Georgia, USA",Southern Honor Wrestling,/site/main/img/ligen/small/2221.gif,Southern Honor Wrestling (2018 - today),,,,"https://www.southernhonorwrestling.com/,https://www.facebook.com/southernhonorwrestling/,https://www.youtube.com/channel/UCs67a9jkDI9tXLJ0mejnyGw",,
SFCW,2013 - today,Southern Fried Championship Wrestling,"Georgia, USA",Southern Fried Championship Wrestling,/site/main/img/ligen/small/1488.gif,Southern Fried Championship Wrestling (2013 - today),,"Dave Manders (2018 - today),Charles Anschutz (2013 - 2018)",,"http://southernfriedchampionshipwrestling.ga/,https://www.facebook.com/ChampionshipWrestling2013,https://www.youtube.com/user/dbigshow75",,
SICW,1974 - today,Southern Illinois Championship Wrestling,"East Carondelet, Illinois, USA",Southern Illinois Championship Wrestling,/site/main/img/ligen/small/1646.gif,Southern Illinois Championship Wrestling (1974 - today),,Herb Simmons (1974 - today),,"http://www.sicw.org/,https://www.facebook.com/WrestlingExplosion",,
"SCW Florida, SCW",1998 - today,Southern Championship Wrestling Florida,"DeBary, Florida, USA",Southern Championship Wrestling Florida,/site/main/img/ligen/small/376.gif,Southern Championship Wrestling Florida (1998 - today),,,,"http://www.scwwrestling.com,https://www.facebook.com/SCWFL,https://twitter.com/scwfl,https://www.youtube.com/user/SCWtvonline/",,
SCW,2022 - today,Southern Combat Wrestling,"Georgia, USA",,,Southern Combat Wrestling (2022 - today),,"Tyler Graves, (2022 - today)",,"https://www.facebook.com/SouthernCombatWrestling,https://www.instagram.com/southerncombatwrestling/,https://twitter.com/SCW_Est2022",,
"GASW, SCW, AWA Georgia",1987 - 1991,Southern Championship Wrestling    ,"Marietta, Georgia, USA",Southern Championship Wrestling    ,/site/main/img/ligen/small/2686.gif,"Georgia All-Star Wrestling (1990 - 1991),Southern Championship Wrestling     (1988 - 1990),American Wrestling Association Georgia (1987)",,"Joe Pedicino, (1990 - 1991),Jerry Blackwell, (1987 - 1990)",,,,
SCW,1995 - 1999,Southern Championship Wrestling   ,"Tennessee, USA",,,Southern Championship Wrestling    (1995 - 1999),,Joseph Fillers (1995 - 1999),,,,
SCW,1995 - 2017,Southern Championship Wrestling  ,"Clinton, South Carolina, USA",Southern Championship Wrestling  ,/site/main/img/ligen/small/2270.gif,Southern Championship Wrestling   (1995 - 2017),,Paul Hellams (1995 - 2017),,,,
Southern States Pro,2022 - today,Southern States Pro Wrestling,"Georgia, USA",Southern States Pro Wrestling,/site/main/img/ligen/small/3325.gif,Southern States Pro Wrestling (2022 - today),,"Murder-1, (2022 - today)",,https://www.facebook.com/SouthStatesPro/,,
,2016 - today,Southern Tier Wrestling,"Jamestown, New York, USA",Southern Tier Wrestling,/site/main/img/ligen/small/1839.gif,Southern Tier Wrestling (2016 - today),,Randy Grey & Jon Osterdahl (2016 - today),,"https://www.facebook.com/southerntierwrestling/,https://www.youtube.com/channel/UCp9XsTm7VpFQ7VNixDoqRAQ",,
SSW,1991 - today,Southern States Wrestling,"Kingsport, Tennessee, USA",Southern States Wrestling,/site/main/img/ligen/small/204.gif,Southern States Wrestling (1991 - today),,"Beau James, (1991 - today)",,"https://www.facebook.com/southernstateswrestling,https://www.youtube.com/c/SouthernStatesWrestling",,
SCWA,1999 - today,Southern California Wrestling Association,"Los Angeles, California, USA",Southern California Wrestling Association,/site/main/img/ligen/small/1886.gif,Southern California Wrestling Association (1999 - today),,Vince Gutierrez (1999 - today),,"https://www.facebook.com/SoCalWrestlingAlliance/,https://www.youtube.com/channel/UCpL-2rA4pawFL4CnwVzXFVg",,
SCW,1981 - 1982,Southern Championship Wrestling ,"Knoxville, Tennessee, USA",,,Southern Championship Wrestling  (1981 - 1982),,"Jim Crockett Jr.,, ,Bob Windham, & ,Ric Flair, (1981 - 1982)",,,,
"SWA, NWA SW",2015 - today,Southeastern Wrestling Association,"Georgia, USA",Southeastern Wrestling Association,/site/main/img/ligen/small/2190.gif,"Southeastern Wrestling Association (xx.09.2017 - today),NWA Southeastern Wrestling (xx.xx.2015 - xx.09.2017)",,,,"https://www.facebook.com/SWASoutheasternWrestling/,https://www.youtube.com/channel/UCT2Opqg9zZaVuNF8xcqGnmQ",,
SCW,1994 - 2004,Southern Championship Wrestling,"Raleigh, North Carolina, USA",Southern Championship Wrestling,/site/main/img/ligen/small/203.gif,Southern Championship Wrestling (1994 - 2004),,"Count Grog, (1994 - 2004)",,,,
SWU,2011 - 2019,South Wrestling Union,"Porto Alegre, Rio Grande do Sul, Brasilien",South Wrestling Union,/site/main/img/ligen/small/1497.gif,South Wrestling Union (2011 - 2019),,"Rusher,, ,Frank Rocco,, ,Sid,, ,Andre O Ogro, & ,Nefastos, (2011 - 2019)",Madrugada Dura na Queda,"https://www.facebook.com/Swulutalivre/,https://www.instagram.com/swulutalivre/,https://www.youtube.com/user/prowrestlingswu",,
SCCW,1997 - 2005,Southern California Championship Wrestling,"California, USA",Southern California Championship Wrestling,/site/main/img/ligen/small/2477.gif,Southern California Championship Wrestling (1997 - 2005),,"Dynamite D,, Kevin Kleinrock & Patrick Hernandez (1997 - 2005)",,,,
"SAPW, NAWA",1990 - 1992,South Atlantic Pro Wrestling,"South Carolina, USA",South Atlantic Pro Wrestling,/site/main/img/ligen/small/415.gif,"South Atlantic Pro Wrestling (xx.07.1990 - 1992),North American Wrestling Association  (1990 - xx.07.1990)",,"Paul Jones, & ,Frank Dusek, (xx.07.1990 - 1992),George Scott,, John Ringley & Mike Lamberth (1990 - xx.07.1990)",,,,
SEWA,1991 - 1998,South Eastern Wrestling Alliance,"North Carolina, USA",,,South Eastern Wrestling Alliance (1991 - 1998),,Chuck Justice (1991 - 1998),,,,
Sololucha,2021 - today,Sololucha,"Monterrey, Nuevo Leon, Mexiko",Sololucha,/site/main/img/ligen/small/3170.gif,Sololucha (2021 - today),,Jose Heredia and Osvaldo Garza (2021 - today),,https://www.facebook.com/people/Sololucha/100076288182999/,,
SCW,2016 - today,Sonoran Championship Wrestling,"Arizona, USA","Sonoran Championship Wrestling, (2022 - today)","/site/main/img/ligen/small/3284.gif,/site/main/img/ligen/small/3284__2022-.gif",Sonoran Championship Wrestling (2016 - today),,,,"https://scwwrestlingaz.com/,https://www.facebook.com/SCWofAZ,https://twitter.com/SCWofAZ,https://www.instagram.com/scwofaz/,https://www.youtube.com/channel/UCZzJpC_8bc4Yit_YVWhwA0Q/",,
WFA,2003 - 2008,Wrestling Federation Of America,"Manchester, New Hampshire, USA",Wrestling Federation Of America,/site/main/img/ligen/small/2446.gif,Wrestling Federation Of America (2003 - 2008),,"Steve Bradley, (2003 - 2008)",,,,
WFX,2003 - 2010,Wrestling Fan Xperience,"Winnipeg, Manitoba, Canada",Wrestling Fan Xperience,/site/main/img/ligen/small/504.gif,"Wrestling Fan Xperience (2007 - 2010),Action Wrestling Entertainment (2003 - 2006)",,"One World Entertainment, ,Mike Davidson, & Jeff Dyck (2003 - 2010)",,,Overload,
WCA,2013 - 2015,Wrestling Cares Association,"Los Angeles, California, USA",Wrestling Cares Association,/site/main/img/ligen/small/1091.gif,Wrestling Cares Association (2013 - 2015),,"David Jackson & ,Les Thatcher, (2013 - 2015)",,"http://www.wrestlingcares.com,https://www.facebook.com/WrestlingCaresAssociation?fref=ts,https://twitter.com/wrestlingcares,http://www.youtube.com/user/WrestlingCares",,
WCS,2013 - today,Wrestling Champions Sport,"Mexico City, Mexiko",Wrestling Champions Sport,/site/main/img/ligen/small/1335.gif,Wrestling Champions Sport (2013 - today),,"Wotan, (2013 - today)",,https://www.facebook.com/pages/Wrestling-Champions-Sport/237238819763385,,
WAR City,2012 - today,Wrestling Association of Reynosa City,"Reynosa, Tamaulipas, Mexiko",Wrestling Association of Reynosa City,/site/main/img/ligen/small/1084.gif,Wrestling Association of Reynosa City (2012 - today),,Jesus Leonel Pena Ayala & Juan Carlos Garcia Ordonez (2012 - today),,"https://www.facebook.com/WarCityWrestling,http://www.warcity.site40.net/",,
WAR,2015 - 2016,Wrestling And Revolution,"Greenville, Pennsylvania, USA",Wrestling And Revolution,/site/main/img/ligen/small/1721.gif,Wrestling And Revolution (2015 - 2016),,,,"https://www.facebook.com/WrestlingAndRevolution,https://twitter.com/WARandMore",,
WAR,2003 - today,Wrestling And Respect,"Lima, Ohio, USA",Wrestling And Respect,/site/main/img/ligen/small/1345.gif,"Wrestling And Respect (2009 - today),Global Wrestling Alliance (xx.08.2007 - 2008),Wrestling And Respect (2003 - xx.08.2007)",,,,"https://www.facebook.com/TheWARWrestling,https://twitter.com/TheWARWrestling,https://www.youtube.com/user/WARWrestling",,
Abaddon,2015,Wrestling Abaddon,"Toronto, Ontario, Canada",Wrestling Abaddon,/site/main/img/ligen/small/1473.gif,Wrestling Abaddon (2015),,"Osiris, (2015 - 2015)",,"http://abaddon.ca/,https://www.facebook.com/wrestlingabaddon,https://twitter.com/wrestleabaddon,https://www.youtube.com/channel/UCHCz6Vua-PHFuAEZV5G3Shg",,
WAR,2007 - today,Wrestling Alliance Revolution,"Guayaquil, Ecuador"," (12.2014 - today), (2007 - 11.2014)","/site/main/img/ligen/small/377__201412-.gif,/site/main/img/ligen/small/377__2007-201411.gif",Wrestling Alliance Revolution (2007 - today),,,,"http://www.war.ec,https://www.facebook.com/WARluchalibreEC/,https://twitter.com/LuchaWarEcuador,https://www.youtube.com/user/WARECUADOR",Superestrellas Del Ring,
"WAM!, IPWM, KPW",2002 - 2005,Wrestling Alliance Midwest,"Kansas, USA"," (11.2004 - 2005), (03.2004 - 10.2004), (09.02.2003 - 02.2004), (2002 - 08.02.2003)","/site/main/img/ligen/small/2746__200411-2005.gif,/site/main/img/ligen/small/2746__200403-200410.gif,/site/main/img/ligen/small/2746__20030209-200402.gif,/site/main/img/ligen/small/2746__2002-20030208.gif","Wrestling Alliance Midwest (03.2004 - 2005),Impact Pro Wrestling Midwest (09.02.2003 - 02.2004),Kansas Pro Wrestling  (2002 - 08.02.2003)",,Michael Kaos (2003 - 2005),,,,
W4L,200x - 2007,Wrestling 4 Life,"New York City, New York, USA",Wrestling 4 Life,/site/main/img/ligen/small/813.gif,Wrestling 4 Life (200x - 2007),,,,http://www.myspace.com/,,
,2016 - today,WrestlePro,"Rahway, New Jersey, USA","WrestlePro,WrestlePro Alaska ","/site/main/img/ligen/small/1654.gif,/site/main/img/ligen/small/1654_WrestlePro Alaska.gif",WrestlePro (2016 - today),,"Kevin Matthews, (2019 - today),Pat Buck, (2016 - 2019)",,"http://www.wrestleproonline.com/,https://www.facebook.com/WrestlePro-960688084007336/,https://twitter.com/WrestlePro,https://www.youtube.com/channel/UC01XLlpp7nApNg2tisekfqA,https://www.instagram.com/wrestlepronj/",,
Wrestlers' Lab,2016 - today,Wrestlers' Laboratory,"New Jersey, USA",Wrestlers' Laboratory,/site/main/img/ligen/small/2185.gif,Wrestlers' Laboratory (2016 - today),,Chris Ruiz & Mike Sweeney (2016 - today),,"https://www.wrestlerslaboratory.com,https://www.facebook.com/wrestlerslaboratory,https://twitter.com/WrestlersLab,https://www.youtube.com/wrestlerslaboratory,https://www.instagram.com/WrestlersLaboratory",,
WrestlePit,2021 - today,WrestlePit,"Pittsburgh, Pennsylvania, USA",WrestlePit,/site/main/img/ligen/small/3245.gif,WrestlePit (2021 - today),,,,"https://www.facebook.com/WrestlePit/,https://twitter.com/wrestlepit,https://www.instagram.com/wrestlepit_/",,
WrestleMerica,2014 - today,WrestleMerica,"Georgia, USA",WrestleMerica,/site/main/img/ligen/small/1586.gif,WrestleMerica (2014 - today),,"Dennis Gale (2017 - today),Luke Gallows, (2014 - 17.05.2017)",,"https://www.facebook.com/wrestlemerica,https://www.youtube.com/c/WrestleMerica",,
WrestleSport,2014 - today,WrestleSport,"Portland, Oregon, USA",WrestleSport,/site/main/img/ligen/small/1688.gif,WrestleSport (2014 - today),,,,"http://www.wrestle-sport.com,https://www.facebook.com/wrestlesport1,https://twitter.com/Wrestle_Sport,https://www.instagram.com/wrestle_sport/,https://www.youtube.com/user/WrestleSport",,
WrestleMax STL,2021 - today,WrestleMax STL,"St. Louis, Missouri, USA",WrestleMax STL,/site/main/img/ligen/small/2946.gif,WrestleMax STL (2021 - today),,"Kevin Lee Davidson, (2021 - today)",,"https://www.facebook.com/WrestleMaxSTL/,https://twitter.com/WrestleMaxSTL,https://www.instagram.com/WrestleMaxSTL/,https://www.youtube.com/channel/UCsjHUJrKeCbqmU0RyqIT6ew",,
WrestleForce,2012 - today,WrestleForce,"Columbia, South Carolina, USA",WrestleForce,/site/main/img/ligen/small/1045.gif,WrestleForce (2012 - today),,,,"https://www.facebook.com/WrestleForce,https://twitter.com/wrestleforce",,
WrestleJam,2004 - 2017,WrestleJam,"Connecticut, USA",WrestleJam,/site/main/img/ligen/small/747.gif,WrestleJam (2004 - 2017),,,,"http://wrestlejam.tripod.com/,https://twitter.com/wrestlejamct,https://www.youtube.com/user/XWIWRESTLING",,
WrestleCore,2018 - today,WrestleCore,"Vancouver, British Columbia, Canada",WrestleCore,/site/main/img/ligen/small/3291.gif,"WrestleCore (2022 - today),Rickshaw Wrestling (2019 - 2022),LuchaLibre Spectacular (2019)",,"Kobra Kai, (2018 - today)",,"https://wrestlecore.ca/,https://www.instagram.com/wrestlecorerld/,https://www.facebook.com/WrestleCore,https://twitter.com/wrestlecorerld,https://www.youtube.com/user/TheScvjetkovich ",,
WFA,2001 - 2003,WrestleForce America,"Charlotte, North Carolina, USA",WrestleForce America,/site/main/img/ligen/small/2805.gif,WrestleForce America (2001 - 2003),,"Jeff Pillars (2001 - 2003),Lodi, (2001 - 2003)",,,,
,2012 - today,WrestleCade Entertainment,"Winston-Salem, North Carolina, USA",WrestleCade Entertainment,/site/main/img/ligen/small/1861.gif,WrestleCade Entertainment (25.11.2012 - today),,Tracy Myers (2012 - 2016),,"http://www.wrestlecade.com,https://www.facebook.com/WrestleCade,https://twitter.com/WrestleCade,https://www.youtube.com/user/WrestleCade,https://www.instagram.com/wrestlecade/",,
WC,2013 - today,WrestleCentre,"Halifax, Nova Scotia, Canada",WrestleCentre,/site/main/img/ligen/small/1366.gif,WrestleCentre (2013 - today),,,,"https://www.facebook.com/wrestlecentre,https://twitter.com/WrestleCentre",,
WNS,2017 - today,Wrestle Nova Scotia,"Windsor, Nova Scotia, Canada",Wrestle Nova Scotia,/site/main/img/ligen/small/2237.gif,Wrestle Nova Scotia (2017 - today),,,,,,
"NWA Wrestle Birmingham, Wrestle Birmingham",2005 - today,Wrestle Birmingham,"Birmingham, Alabama, USA",Wrestle Birmingham,/site/main/img/ligen/small/552.gif,"Wrestle Birmingham (2018 - today),National Wrestling Alliance Wrestle Birmingham (2005 - 2010)",,Linda Marx Keeble (2005 - today),,https://www.wrestlebirmingham.net/,,
WAH,2020 - today,Wrestle Against Hunger,"Turley, Oklahoma, USA",Wrestle Against Hunger,/site/main/img/ligen/small/2876.gif,Wrestle Against Hunger (2020 - today),,,,"https://www.facebook.com/wrestleagainsthunger/,https://www.youtube.com/channel/UCW_rxZRdh7CwcPYBL_Kgk4w",,
Worldwide Dojo,2021 - today,Worldwide Wrestling Dojo,"Bristol, Pennsylvania, USA",Worldwide Wrestling Dojo,/site/main/img/ligen/small/2925.gif,Worldwide Wrestling Dojo (2021 - today),,"World Famous CB, (2021 - today)",,"https://www.worldwidewrestlingdojo.com,https://twitter.com/WorldwideDojo,https://www.facebook.com/WorldwideDojo,https://www.instagram.com/worldwidedojo,https://www.youtube.com/channel/UCy3wRutKqGzXazO_VmF708w",Captured Lightning,
Wrestle Aid Orlando,2016,Wrestle Aid Orlando,"Orlando, Florida, USA",Wrestle Aid Orlando,/site/main/img/ligen/small/1873.gif,Wrestle Aid Orlando (2016),,John Chagaris (2016),,"https://www.facebook.com/WrestleaidOrlando/,https://twitter.com/wrestleaidorl,https://www.instagram.com/wrestleaidorlando/",,
WBW,2007 - today,Wrecking Ball Wrestling,"Texas, USA",Wrecking Ball Wrestling,/site/main/img/ligen/small/1433.gif,Wrecking Ball Wrestling (2007 - today),,"William Martin (2011 - today),Tony Martin, (2007 - 2011)",,"https://www.facebook.com/wreckingballwrestling,https://www.facebook.com/WBWAmerica/",,
WBW,2012 - 2021,World's Best Wrestling,"Ohio, USA",World's Best Wrestling,/site/main/img/ligen/small/2199.gif,World's Best Wrestling (2012 - 2021),,,,"http://www.wbwtv.com,https://www.facebook.com/wbwpro,http://www.twitter.com/WBWTV",,
WUW Mexico,2014 - today,World of Unpredictable Wrestling Mexico,"Tulancingo, Hidalgo, Mexiko",World of Unpredictable Wrestling Mexico,/site/main/img/ligen/small/1331.gif,World of Unpredictable Wrestling Mexico (2014 - today),,"Mistic Azteca & ,Super Crazy, (2014 - today)",,"https://www.facebook.com/wuwmexico,https://twitter.com/WUWMexico",,
WFW,2018 - today,World's Finest Wrestling,"Indiana, USA",World's Finest Wrestling,/site/main/img/ligen/small/3025.gif,World's Finest Wrestling (2018 - today),,Keith P. Miller (2018 - today),,https://www.facebook.com/Worlds-Finest-Wrestling-100614715550862,,
WFW,2016,Worlds Finest Wrestling,"Deer Park, New York, USA",Worlds Finest Wrestling,/site/main/img/ligen/small/1719.gif,Worlds Finest Wrestling (2016),,,,https://twitter.com/WFinestWrestlin,,
WXW C4,2008 - today,World Xtreme Wrestling C4,"Allentown, Pennsylvania, USA",World Xtreme Wrestling C4,/site/main/img/ligen/small/2788.gif,World Xtreme Wrestling C4 (2008 - today),,"Afa Jr., & ,Samu, (2008 - today)",,"http://wxwc4.com,https://www.facebook.com/WorldXtremeWrestlingC4,https://twitter.com/wxwc4",,
"WXW, Top Rope",1996 - today,World Xtreme Wrestling,"Minneola, Florida, USA",World Xtreme Wrestling,/site/main/img/ligen/small/26.gif,"World Xtreme Wrestling (1999 - today),Top Rope Productions (1996 - 1998)",,"Afa, (1996 - today)",Sportsfest,"http://www.wxwwrestling.com/,https://www.facebook.com/wxw.pro.wrestling",,
